actor_id,name,birth,agency,sns,image,work1,work2,work3,work4,work5
353,서하임,1995.03.19,,http://www.instagram.com/hiimhaim | http://m.cafe.naver.com/suhadaum.cafe?,actor_images\45079.gif,"나의 연애코치
2025.04.09 ~ 2025.06.29
명륜아트홀
문사랑 역","스크루테이프의 편지
2024.01.12 ~ 2026.01.31
북촌나래홀
블랙엔젤 역","더페인팅
2023.09.06 ~ 2023.09.17
대학로 SH 아트홀
영서 역","불편한 편의점
2023.04.08 ~ 오픈런
올웨이즈씨어터
시현 역","제16회 대구국제페스티벌 - 봄을 그리다
2022.07.01 ~ 2022.07.03
대구 대덕문화전당
화원 역"
354,김재욱,1990.04.16,,,actor_images\38310.gif,"댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
추태양 역","죽여주는 이야기
2009.10.01 ~ 2020.12.31
삼형제극장
바보레옹 역
관객",,,
355,천상민,,,,actor_images\12253.gif,"선택
2024.01.04 ~ 2024.01.07
대학로 선돌극장
이정길 역","영철빌라
2022.11.20 ~ 2022.11.29
뜻밖의극장
조연출","댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
추태양 역","미스사이공 - 고양
2010.03.13 ~ 2010.04.04
고양아람누리 아람극장
앙상블
관객 전문가","라디오스타
2008.11.18 ~ 2008.12.31
국립중앙박물관 극장 용
앙상블
관객 전문가"
356,최수연,1994.07.30,,,actor_images\41433.gif,"루나자에서 춤을 - 안산
2024.05.25 ~ 2024.05.26
안산문화예술의전당 별무리극장
아그네스 역","썸데이
2023.09.01 ~ 2024.02.29
업스테이지(UP STAGE)
김연수 역","영철빌라
2022.11.20 ~ 2022.11.29
뜻밖의극장
연출 대본","댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
이루아 역","그새끼
2022.01.06 ~ 2022.03.06
씨어터 앤 펍 맥거핀
기획"
357,김보경,1996.10.22,,http://www.instagram.com/mizurang_aqua_happii,actor_images\50567.gif,"댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
조미미 역",,,,
358,장연수,1998.09.02,,,actor_images\49072.gif,"댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
럭키 역","그날의 타이밍 2
2022.03.09 ~ 2022.03.13
한성아트홀 2관
도영&지석 역",,,
359,심예진,1998.03.06,,http://www.instagram.com/eee__dini,actor_images\50569.gif,"댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
조미미 역",,,,
360,권은서,1999.11.08,,http://www.instagram.com/rlowest99,actor_images\50570.gif,"인어의 손
2025.05.29 ~ 2025.06.08
대학로 소극장 혜화당
로빈 역","댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
안유연 역",,,
361,황지민,1996.05.31,,http://www.instagram.com/ziminic,actor_images\50564.gif,"댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
추태양 역",,,,
362,박소진,1995.02.27,,http://www.instagram.com/so_jin_s_house,actor_images\50566.gif," 썸데이 - 춘천
2024.12.24 ~ 2024.12.29
춘천 봄내극장
김연수 역","썸데이 - 춘천
2024.09.20 ~ 2024.09.28
춘천 봄내극장
김연수 역","은밀한 연애
2024.08.21 ~ 2025.08.17
시윤아트홀
여자 역"," 썸데이
2024.06.05 ~ 2026.01.31
무하아트센터
유지해 역","썸데이
2024.03.16 ~ 2024.07.31
무하아트센터 2관
김연수 역"
363,조제상,1987.09.04,,,actor_images\44978.gif,"델타 보이즈
2024.10.02 ~ 오픈런
대학로 아트포레스트 2관
노준세 역","그곳에 있었다
2024.08.01 ~ 2024.11.30
댕로홀 (구.두레홀 1관)
여태준 역","그곳에 있었다
2023.09.01 ~ 2024.07.31
댕로홀 (구.두레홀 1관)
여태준 역","파이널 보트 - 과천
2022.09.26 ~ 2022.12.31
국립과천과학관 어울림홀
조마고 역","댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
추태양 역"
364,이준범,1990.04.12,,http://www.instagram.com/leejb1402,actor_images\50575.gif,"댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
럭키 역",,,,
365,이슬기,2001.11.10,,http://www.instagram.com/s_eul_ki_7,actor_images\50572.gif,"댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
안유연 역",,,,
366,박혜림,1997.05.06,,http://www.instagram.com/h_r979797,actor_images\47240.gif,"캐리와 슈퍼콜라의 싱어롱 뮤직쇼 - 안산
2025.09.27 ~ 2025.09.28
안산문화예술의전당 해돋이극장
앙상블","캐리와 슈퍼콜라의 싱어롱 뮤직쇼 - 군산
2025.09.20 ~ 2025.09.21
군산예술의전당 대공연장
앙상블","캐리와 슈퍼콜라의 싱어롱 뮤직쇼 - 대구
2025.09.06 ~ 2025.09.07
대구보건대학교 인당아트홀
앙상블","더 박스(THE BOX) - 그녀들의 이야기
2025.08.28 ~ 2025.09.14
모모씨어터
제인 역","어느 날, 갑자기
2024.04.17 ~ 오픈런
더굿씨어터
안무"
367,곽영철,1994.05.10,,http://www.instagram.com/0steel9414,actor_images\50562.gif,"산타와 빈양말
2024.11.30 ~ 2024.12.25
강동아트센터 대극장 한강
루돌프 역","내 마음은 무지
2024.01.20 ~ 2024.02.25
올림픽공원 우리금융아트홀
레인보우 역","산타와 빈양말
2023.11.25 ~ 2023.12.31
올림픽공원 우리금융아트홀
루돌프 역","댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
럭키 역","엑스칼리버
2019.06.15 ~ 2019.08.04
세종문화회관 대극장
앙상블"
368,이준녕,,,http://www.instagram.com/lee_jun_nyeong__,actor_images\50574.gif,"딜리버리
2024.02.03 ~ 오픈런
아라아트홀
라이더 역","댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
럭키 역","택시 안에서
2018.10.12 ~ 2026.01.31
해바라기 소극장
민수 역","메디컬 루나틱
2011.04.15 ~ 2012.02.22
성균관대학교 새천년홀
앙상블",
369,최솔,,,,actor_images\40233.gif,"더 박스(THE BOX) - 그녀들의 이야기
2025.08.28 ~ 2025.09.14
모모씨어터
신디 역","THE BOX (더 박스)
2024.12.18 ~ 2025.01.04
모모씨어터
신디 역","THE BOX
2024.09.13 ~ 2024.09.22
모모씨어터
신디 역","어느 날, 갑자기
2024.04.17 ~ 오픈런
더굿씨어터
멀티엔젤 역","디스코걸즈
2024.04.17 ~ 오픈런
더굿씨어터
진방글 역"
370,홍성욱,2001.11.20,,http://www.instagram.com/h_s___uk,actor_images\50576.gif,"댄싱피버
2022.04.25 ~ 오픈런
해당공연 공연장
럭키 역",,,,
371,황경석,1986.08.05,,http://www.instagram.com/kyeongseokh,actor_images\56060.gif,"천로역정
2023.12.09 ~ 2026.03.02
명륜아트홀
아볼루온 역",,,,
372,최서아,1982.01.11,,https://www.youtube.com/@gamseoa,actor_images\56059.gif,"천로역정
2023.12.09 ~ 2026.03.02
명륜아트홀
김민수 역",,,,
373,박상하,1991.08.03,,http://www.instagram.com/updown_bbb,actor_images\56058.gif,"광복80주년 기념 창작낭독 〈빼앗긴 들에도 봄은 오는가〉 - 대구
2025.08.08 ~ 2025.08.09
대구봉산문화회관 가온홀","오리지널 어린이 캣 - 과천
2025.06.18 ~ 2025.07.06
국립과천과학관 어울림홀","어린이 캣 - 과천
2024.10.30 ~ 2024.11.20
국립과천과학관 어울림홀","천로역정
2023.12.09 ~ 2026.03.02
명륜아트홀
아볼루온 역","픽처플레이 구름빵
2012.04.05 ~ 2013.03.03
대학로 공간아울"
374,이나영,1983.11.27,,,actor_images\17817.gif,"천로역정
2023.12.09 ~ 2026.03.02
명륜아트홀
소망 역","로보카 폴리 - 고양
2023.11.11 ~ 2023.11.12
고양어울림누리 어울림극장","세례요한
2023.10.12 ~ 2024.03.02
북촌나래홀
헤로디아 역","세계 문명 탐험대 - 과천
2022.07.09 ~ 2022.08.21
국립과천과학관 어울림홀
타이미 역","사람은 무엇으로 사는가
2022.07.06 ~ 2023.08.30
북촌나래홀"
375,강현빈,1995.03.03,,,actor_images\56057.gif,"천로역정
2023.12.09 ~ 2026.03.02
명륜아트홀
필그림 역",,,,
376,인자혜,1999.04.27,,http://www.instagram.com/jalepre_r,actor_images\54947.gif,"책 속에 갇힌 고양이
2024.03.30 ~ 2024.10.26
명륜아트홀
성아지 역","천로역정
2023.12.09 ~ 2026.03.02
명륜아트홀
소망 역",,,
377,이시영,,,,actor_images\45991.gif," ‘오렌지 스카이’
2025.12.18 ~ 2026.01.04
달밤엔씨어터
송하늘 역","살아 봐도 될까요？
2025.06.26 ~ 2025.06.29
달밤엔씨어터
수감자5 역","공포 스릴러 ＇멈춰진 계절＇
2025.02.20 ~ 2025.08.31
달밤엔씨어터
k씨 역","나인오브소드
2024.11.12 ~ 2024.11.17
달밤엔씨어터
승객8 역","오렌지스카이
2023.12.21 ~ 2024.09.29
달밤엔씨어터
송하늘 역"
378,김서우,1999.04.29,,,actor_images\50375.gif," ‘오렌지 스카이’
2025.12.18 ~ 2026.01.04
달밤엔씨어터
이건 역","나인오브소드
2024.11.12 ~ 2024.11.17
달밤엔씨어터
승객5 역","봄이 오는 언덕에서
2023.08.22 ~ 2023.08.27
달밤엔씨어터
의문의 헬멧 역","언플러그드
2020.08.28 ~ 2023.08.31
달밤엔씨어터
이건 역",
379,박송연,1976.05.23,,,actor_images\27488.gif," ‘오렌지 스카이’
2025.12.18 ~ 2026.01.04
달밤엔씨어터
순덕 외 역","오렌지스카이
2023.12.21 ~ 2024.09.29
달밤엔씨어터
순덕 외 멀티 역","언플러그드
2020.08.28 ~ 2023.08.31
달밤엔씨어터
순덕 외 멀티 역","불혹전
2020.02.11 ~ 2020.02.16
달밤엔씨어터
이명주 역","멈춰진 계절
2019.06.04 ~ 2021.10.31
달밤엔씨어터
엄마 역"
380,허정호,1995.09.21,,,actor_images\45993.gif," ‘오렌지 스카이’
2025.12.18 ~ 2026.01.04
달밤엔씨어터
이건 역","나인오브소드
2024.11.12 ~ 2024.11.17
달밤엔씨어터
승객3 역","오렌지스카이
2023.12.21 ~ 2024.09.29
달밤엔씨어터
이건 역","안녕 달아
2021.05.01 ~ 2021.08.15
달밤엔씨어터
달이 역","언플러그드
2020.08.28 ~ 2023.08.31
달밤엔씨어터
이건 역"
381,김나온,1987.03.01,,,actor_images\45371.gif," ‘오렌지 스카이’
2025.12.18 ~ 2026.01.04
달밤엔씨어터
구실장 외 역","［서울 대학로］연극 라면
2024.02.01 ~ 2026.01.31
해피씨어터
이경필 역","선인장 키우기
2023.11.28 ~ 2023.12.03
대학로 소극장 혜화당
김 역","사랑 닫다
2023.08.09 ~ 2023.08.20
대학로 극장 동국","불편한 편의점
2023.04.08 ~ 오픈런
올웨이즈씨어터
멀티맨 역"
382,안세미,1998.12.17,,http://www%20instagram.com/9a.sem.i8,actor_images\48243.gif," ‘오렌지 스카이’
2025.12.18 ~ 2026.01.04
달밤엔씨어터
송하늘 역","행오버 - 대전
2025.04.18 ~ 2025.06.08
작은극장 다함
엠마 역","행오버
2023.05.01 ~ 2025.12.31
정극장
엠마 역","괴담
2023.04.27 ~ 2023.09.03
우리소극장
다솔 역","딜리버리
2023.03.10 ~ 2024.01.28
대학로 아티스탄홀
도레미 역"
383,오지훈,,,,actor_images\52478.gif," ‘오렌지 스카이’
2025.12.18 ~ 2026.01.04
달밤엔씨어터
구실장 외 역","공포 스릴러 ＇멈춰진 계절＇
2025.02.20 ~ 2025.08.31
달밤엔씨어터
남자 역","나인오브소드
2024.11.12 ~ 2024.11.17
달밤엔씨어터
승객4 역","봄이 오는 언덕에서
2023.08.22 ~ 2023.08.27
달밤엔씨어터
2층 할아버지 역",
384,박선령,,,,actor_images\43993.gif,"썸데이 - 청주
2024.10.05 ~ 2026.02.27
소극장 쇠내골
유지해 역"," 베어만 - 청주,세종
2024.01.04 ~ 2026.04.30
소극장 쇠내골
존시 역","어른동생 - 청주
2023.06.17 ~ 2023.08.31
소극장 쇠내골
엄마 역","아기돼지야 준비해 - 청주
2022.04.23 ~ 2026.02.02
소극장 쇠내골
셋째돼지 역","빌의 구둣방 - 청주
2021.03.20 ~ 2023.10.23
소극장 쇠내골
안네 역"
385,조재문,,,,actor_images\43994.gif,"썸데이 - 청주
2024.10.05 ~ 2026.02.27
소극장 쇠내골
우연희 역"," 베어만 - 청주,세종
2024.01.04 ~ 2026.04.30
소극장 쇠내골
지이미 역","어른동생 - 청주
2023.06.17 ~ 2023.08.31
소극장 쇠내골
미루 역","아기돼지야 준비해 - 청주
2022.04.23 ~ 2026.02.02
소극장 쇠내골
늑대 역","빌의 구둣방 - 청주
2021.03.20 ~ 2023.10.23
소극장 쇠내골
칼 역"
386,김명주,,,,actor_images\54899.gif,"썸데이 - 청주
2024.10.05 ~ 2026.02.27
소극장 쇠내골
썸데이 역",,,,
387,허선우,,,,actor_images\46556.gif,"썸데이 - 청주
2024.10.05 ~ 2026.02.27
소극장 쇠내골
김이암 역"," 베어만 - 청주,세종
2024.01.04 ~ 2026.04.30
소극장 쇠내골
베어만 역","어른동생 - 청주
2023.06.17 ~ 2023.08.31
소극장 쇠내골
정우 역","아기돼지야 준비해 - 청주
2022.04.23 ~ 2026.02.02
소극장 쇠내골
첫째돼지 역","빌의 구둣방 - 청주
2021.03.20 ~ 2023.10.23
소극장 쇠내골
빌 역"
388,유아온,1991.05.06,,http://www.instagram.com/5nly._.u,actor_images\56528.gif,"런던레코드 - 부산
2025.09.12 ~ 2025.12.28
가온아트홀 2관","늦은봄날 - 부산
2025.06.06 ~ 2025.08.31
가온아트홀 2관","런던레코드 - 부산
2024.08.23 ~ 2025.03.30
부산 엠스테이지","어라운드 더 클락
2023.06.24 ~ 2023.07.02
피움 스튜디오",
389,강예슬,1998.12.07,,http://www.instagram.com/carperectractum/,actor_images\56048.gif,"난타 - 명동
2022.07.08 ~ 2026.03.31
명동 난타 전용관
스파이시 역",,,,
390,신가인,,,,actor_images\55462.gif,"경남도립극단 정기공연 음악극 〈둥둥 낙랑둥〉 - 진주
2025.04.17 ~ 2025.04.19
경상남도문화예술회관 대공연장","난타 - 명동
2022.07.08 ~ 2026.03.31
명동 난타 전용관
터프가이 역",,,
