play_no,title,start_date,end_date,theater,actors
221462,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,오즈아트홀,윤은채
175240,공연의 모든 것 - 플레이DB,2021-12-02,2022-03-27,명동 난타 전용관,"강예슬,신가인,윤은채"
223208,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,뮤지컬식당 스마일떡볶이,윤은채
219832,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,브이씨어터,윤은채
220887,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,가온아트홀 2관,"유아온,윤은채"
104328,공연의 모든 것 - 플레이DB,2009-10-10,2020-03-08,제주 난타,윤은채
215996,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,올림픽공원 뮤즈라이브홀,"김유성,김채은,남예서,노연희,박수,박준원,신이수,육서현,윤은채,이승준,이예진,이지오,임원,장정현,전아현,정연우,최이안,최지아,한다원,한현진"
220909,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,대전 상상아트홀,윤은채
224991,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,명보아트홀 B1F 다온홀,윤은채
196009,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,명륜아트홀,"강현빈,박민규,박상하,윤은채,이나영,인자혜,조선영,진승영,최서아,황경석"
222844,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,구로예술나무씨어터,윤은채
197745,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,북촌나래홀,"길하윤,김가슬,김태영,김호수,봉경복,서하임,윤은채,이경호,진승영"
208552,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,소극장 쇠내골,"김명주,김지원,박선령,윤은채,조재문,허선우"
225385,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,명보아트홀 B1F 다온홀,윤은채
218374,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,오즈아트홀,윤은채
221330,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,뮤지컬펍 스폿라이트,윤은채
223487,공연의 모든 것 - 플레이DB,,,한국 만화박물관 내 만화영화상영관,윤은채
223908,공연의 모든 것 - 플레이DB,2025-12-02,2026-03-02,국립정동극장,윤은채
214875,공연의 모든 것 - 플레이DB,,,클럽 크로마,윤은채
